case,activity,timestamp,concept:name,time:timestamp
34,Coarse Screens,1969-12-31 16:00:00+00:00,Coarse Screens,1969-12-31 16:00:00+00:00
34,Fine Screens,1969-12-31 17:00:00+00:00,Fine Screens,1969-12-31 17:00:00+00:00
34,Compacted Screenings,1969-12-31 18:00:00+00:00,Compacted Screenings,1969-12-31 18:00:00+00:00
34,Disposal to Landfill,1969-12-31 19:00:00+00:00,Disposal to Landfill,1969-12-31 19:00:00+00:00
186,Coarse Screens,1969-12-31 16:00:00+00:00,Coarse Screens,1969-12-31 16:00:00+00:00
186,Fine Screens,1969-12-31 17:00:00+00:00,Fine Screens,1969-12-31 17:00:00+00:00
186,Compacted Screenings,1969-12-31 18:00:00+00:00,Compacted Screenings,1969-12-31 18:00:00+00:00
186,Disposal to Landfill,1969-12-31 19:00:00+00:00,Disposal to Landfill,1969-12-31 19:00:00+00:00
248,Coarse Screens,1969-12-31 16:00:00+00:00,Coarse Screens,1969-12-31 16:00:00+00:00
248,Fine Screens,1969-12-31 17:00:00+00:00,Fine Screens,1969-12-31 17:00:00+00:00
248,Compacted Screenings,1969-12-31 18:00:00+00:00,Compacted Screenings,1969-12-31 18:00:00+00:00
248,Disposal to Landfill,1969-12-31 19:00:00+00:00,Disposal to Landfill,1969-12-31 19:00:00+00:00
464,Coarse Screens,1969-12-31 16:00:00+00:00,Coarse Screens,1969-12-31 16:00:00+00:00
464,Fine Screens,1969-12-31 17:00:00+00:00,Fine Screens,1969-12-31 17:00:00+00:00
464,Primary Clarifiers,1969-12-31 18:00:00+00:00,Primary Clarifiers,1969-12-31 18:00:00+00:00
464,Bio-reactor Tanks,1969-12-31 19:00:00+00:00,Bio-reactor Tanks,1969-12-31 19:00:00+00:00
464,Final Clarifier,1969-12-31 20:00:00+00:00,Final Clarifier,1969-12-31 20:00:00+00:00
464,Chlorine Contact Basin,1969-12-31 21:00:00+00:00,Chlorine Contact Basin,1969-12-31 21:00:00+00:00
464,Pond,1969-12-31 22:00:00+00:00,Pond,1969-12-31 22:00:00+00:00
464,De-chlorination Pond,1969-12-31 23:00:00+00:00,De-chlorination Pond,1969-12-31 23:00:00+00:00
464,Effluent Pumping Station,1970-01-01 00:00:00+00:00,Effluent Pumping Station,1970-01-01 00:00:00+00:00
224,Coarse Screens,1969-12-31 16:00:00+00:00,Coarse Screens,1969-12-31 16:00:00+00:00
224,Fine Screens,1969-12-31 17:00:00+00:00,Fine Screens,1969-12-31 17:00:00+00:00
224,Compacted Screenings,1969-12-31 18:00:00+00:00,Compacted Screenings,1969-12-31 18:00:00+00:00
224,Disposal to Landfill,1969-12-31 19:00:00+00:00,Disposal to Landfill,1969-12-31 19:00:00+00:00
431,Coarse Screens,1969-12-31 16:00:00+00:00,Coarse Screens,1969-12-31 16:00:00+00:00
431,Fine Screens,1969-12-31 17:00:00+00:00,Fine Screens,1969-12-31 17:00:00+00:00
431,Primary Clarifiers,1969-12-31 18:00:00+00:00,Primary Clarifiers,1969-12-31 18:00:00+00:00
431,Sludge Grinder,1969-12-31 19:00:00+00:00,Sludge Grinder,1969-12-31 19:00:00+00:00
431,Blend Tank,1969-12-31 20:00:00+00:00,Blend Tank,1969-12-31 20:00:00+00:00
431,Anaerobic Digester,1969-12-31 21:00:00+00:00,Anaerobic Digester,1969-12-31 21:00:00+00:00
289,Coarse Screens,1969-12-31 16:00:00+00:00,Coarse Screens,1969-12-31 16:00:00+00:00
289,Fine Screens,1969-12-31 17:00:00+00:00,Fine Screens,1969-12-31 17:00:00+00:00
289,Compacted Screenings,1969-12-31 18:00:00+00:00,Compacted Screenings,1969-12-31 18:00:00+00:00
289,Disposal to Landfill,1969-12-31 19:00:00+00:00,Disposal to Landfill,1969-12-31 19:00:00+00:00
39,Coarse Screens,1969-12-31 16:00:00+00:00,Coarse Screens,1969-12-31 16:00:00+00:00
39,Fine Screens,1969-12-31 17:00:00+00:00,Fine Screens,1969-12-31 17:00:00+00:00
39,Compacted Screenings,1969-12-31 18:00:00+00:00,Compacted Screenings,1969-12-31 18:00:00+00:00
39,Disposal to Landfill,1969-12-31 19:00:00+00:00,Disposal to Landfill,1969-12-31 19:00:00+00:00
29,Coarse Screens,1969-12-31 16:00:00+00:00,Coarse Screens,1969-12-31 16:00:00+00:00
29,Fine Screens,1969-12-31 17:00:00+00:00,Fine Screens,1969-12-31 17:00:00+00:00
29,Primary Clarifiers,1969-12-31 18:00:00+00:00,Primary Clarifiers,1969-12-31 18:00:00+00:00
29,Bio-reactor Tanks,1969-12-31 19:00:00+00:00,Bio-reactor Tanks,1969-12-31 19:00:00+00:00
29,Final Clarifier,1969-12-31 20:00:00+00:00,Final Clarifier,1969-12-31 20:00:00+00:00
29,Chlorine Contact Basin,1969-12-31 21:00:00+00:00,Chlorine Contact Basin,1969-12-31 21:00:00+00:00
29,frldj1ailb4f9,1969-12-31 22:00:00+00:00,frldj1ailb4f9,1969-12-31 22:00:00+00:00
29,dtkbj7c2sujoc,1969-12-31 22:00:00+00:00,dtkbj7c2sujoc,1969-12-31 22:00:00+00:00
29,De-chlorination Pond,1969-12-31 23:00:00+00:00,De-chlorination Pond,1969-12-31 23:00:00+00:00
29,Cascade Aerator,1970-01-01 00:00:00+00:00,Cascade Aerator,1970-01-01 00:00:00+00:00
776,Fine Screens,1969-12-31 17:00:00+00:00,Fine Screens,1969-12-31 17:00:00+00:00
776,Compacted Screenings,1969-12-31 18:00:00+00:00,Compacted Screenings,1969-12-31 18:00:00+00:00
776,Disposal to Landfill,1969-12-31 19:00:00+00:00,Disposal to Landfill,1969-12-31 19:00:00+00:00
449,Coarse Screens,1969-12-31 16:00:00+00:00,Coarse Screens,1969-12-31 16:00:00+00:00
449,Fine Screens,1969-12-31 17:00:00+00:00,Fine Screens,1969-12-31 17:00:00+00:00
449,Compacted Screenings,1969-12-31 18:00:00+00:00,Compacted Screenings,1969-12-31 18:00:00+00:00
449,Disposal to Landfill,1969-12-31 19:00:00+00:00,Disposal to Landfill,1969-12-31 19:00:00+00:00
671,Coarse Screens,1969-12-31 16:00:00+00:00,Coarse Screens,1969-12-31 16:00:00+00:00
671,Fine Screens,1969-12-31 17:00:00+00:00,Fine Screens,1969-12-31 17:00:00+00:00
671,Compacted Screenings,1969-12-31 18:00:00+00:00,Compacted Screenings,1969-12-31 18:00:00+00:00
671,Disposal to Landfill,1969-12-31 19:00:00+00:00,Disposal to Landfill,1969-12-31 19:00:00+00:00
581,Coarse Screens,1969-12-31 16:00:00+00:00,Coarse Screens,1969-12-31 16:00:00+00:00
581,Fine Screens,1969-12-31 17:00:00+00:00,Fine Screens,1969-12-31 17:00:00+00:00
581,Compacted Screenings,1969-12-31 18:00:00+00:00,Compacted Screenings,1969-12-31 18:00:00+00:00
581,Disposal to Landfill,1969-12-31 19:00:00+00:00,Disposal to Landfill,1969-12-31 19:00:00+00:00
35,Coarse Screens,1969-12-31 16:00:00+00:00,Coarse Screens,1969-12-31 16:00:00+00:00
35,Fine Screens,1969-12-31 17:00:00+00:00,Fine Screens,1969-12-31 17:00:00+00:00
